Si. No.,Category,State/UT/City,Dangerous or Careless Driving/ Over-taking/etc. - Cases,Dangerous or Careless Driving/ Over-taking/etc. - Injured,Dangerous or Careless Driving/ Over-taking/etc. - Died,Over Speeding - Cases,Over Speeding - Injured,Over Speeding - Died,Driving under Influence of Drug/Alcohol - Cases,Driving under Influence of Drug/Alcohol - Injured,Driving under Influence of Drug/Alcohol - Died,Physical Fatigue of Drivers - Cases,Physical Fatigue of Drivers - Injured,Physical Fatigue of Drivers - Died,Defect in Mechanical Condition of Motor Vehicle - Cases,Defect in Mechanical Condition of Motor Vehicle - Injured,Defect in Mechanical Condition of Motor Vehicle - Died,Animal Crossing - Cases,Animal Crossing - Injured,Animal Crossing - Died,Weather Condition (Total) - Cases,Weather Condition (Total) - Injured,Weather Condition (Total) - Died,Weather Condition (Poor Visibility) - Cases,Weather Condition (Poor Visibility) - Injured,Weather Condition (Poor Visibility) - Died,Weather Condition (Others Causes - Cases,Weather Condition (Others Causes - Injured,Weather Condition (Others Causes - Died,Lack of Road Infrastructure - Cases,Lack of Road Infrastructure - Injured,Lack of Road Infrastructure - Died,Vehicles Parking at Road Shoulders - Cases,Vehicles Parking at Road Shoulders - Injured,Vehicles Parking at Road Shoulders - Died,Causes Not Known - Cases,Causes Not Known - Injured,Causes Not Known - Died,Other Causes - Cases,Other Causes - Injured,Other Causes - Died,Total Road Accidents - Cases,Total Road Accidents - Injured,Total Road Accidents - Died,Unmanned Railway Crossing Accidents - Cases,Unmanned Railway Crossing Accidents - Injured,Unmanned Railway Crossing Accidents - Died,Grand Total - Cases,Grand Total - Injured,Grand Total - Died
21,State,Rajasthan,5769,5056,2740,11673,10152,5618,111,100,50,252,223,119,191,179,94,165,151,102,211,241,131,105,140,71,106,101,60,80,78,59,157,148,84,406,354,211,106,101,44,19121,16783,9252,0,0,0,19121,16783,9252
22,State,Sikkim,21,37,7,51,81,22,6,24,4,2,2,1,6,14,1,0,0,0,5,7,1,5,7,1,0,0,0,5,10,3,0,0,0,1,6,0,11,15,3,108,196,42,0,0,0,108,196,42
23,State,Tamil Nadu,6103,7213,1318,33449,36652,5585,794,970,283,494,573,82,826,1081,66,581,971,195,827,1012,218,272,323,61,555,689,157,450,383,19,375,333,55,530,326,60,1055,1037,178,45484,50551,8059,0,0,0,45484,50551,8059
24,State,Telangana,1538,1635,637,14978,14456,5460,1328,1295,343,26,28,6,203,174,61,60,40,37,58,54,37,22,19,5,36,35,32,35,33,5,169,194,48,262,274,69,515,478,179,19152,18661,6862,0,0,0,19172,18661,6882
25,State,Tripura,49,56,13,411,404,178,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,486,470,212,20,0,20,486,470,212
26,State,Uttar Pradesh,15600,8439,10171,7638,4299,5264,1039,624,541,159,120,104,268,166,229,719,533,576,941,684,621,609,435,386,332,249,235,184,135,142,189,150,109,612,251,448,1304,581,832,28653,15982,19037,0,0,0,28653,15982,19037
27,State,Uttarakhand,226,347,298,527,226,210,10,4,5,18,10,8,12,7,6,7,7,0,10,5,5,8,4,4,2,1,1,2,1,1,2,1,1,236,254,159,0,0,0,1049,862,692,0,0,0,1050,862,693
28,State,West Bengal,3458,3337,1333,3414,3083,1746,428,420,51,72,55,26,519,444,332,66,46,25,633,393,205,359,259,117,274,134,88,192,122,76,121,79,41,349,251,206,1591,1326,1130,10820,9556,5148,1,0,1,10844,9556,5172
Total (States),Total (States),Total (States),83796,74650,34652,209033,203466,74091,7869,6853,3001,2005,1925,829,4754,4643,1886,4229,3721,1967,8505,7249,4303,4643,4039,2377,3862,3210,1926,2216,1946,1033,2472,2516,1040,5945,4959,2481,13456,12214,5693,344406,324240,131022,24,0,24,344406,324240,131022
29,Union Territories,A & N Islands,82,90,8,26,31,2,33,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,145,14,0,0,0,141,145,14
